menuName,optionTitle,optionName,price
BBQ 양념치킨,한마리 부분육 선택,한마리,0
BBQ 양념치킨,한마리 부분육 선택,순살 변경 (+2000원),2000
BBQ 양념치킨,추가메뉴,치킨무 추가 (+500원),500
BBQ 양념치킨,추가메뉴,콜라 1.25L (+2500원),2500
BBQ 양념치킨,추가메뉴,제로콜라 1.25L (+2500원),2500
BBQ 양념치킨,추가메뉴,시크릿 양념소스(25g) (+500원),500
황올 반 + BBQ양념 반,황올 부분육 선택,한마리,0
황올 반 + BBQ양념 반,황올 부분육 선택,순살 변경 (+2000원),2000
황올 반 + BBQ양념 반,추가메뉴,치킨무 추가 (+500원),500
황올 반 + BBQ양념 반,추가메뉴,콜라 1.25L (+2500원),2500
황올 반 + BBQ양념 반,추가메뉴,제로콜라 1.25L (+2500원),2500
황올 반 + BBQ양념 반,추가메뉴,시크릿 양념소스(25g) (+500원),500
황금올리브치킨,황올 부분육 선택,한마리,0
황금올리브치킨,황올 부분육 선택,순살 변경 (+2000원),2000
황금올리브치킨,추가메뉴,치킨무 추가 (+500원),500
황금올리브치킨,추가메뉴,콜라 1.25L (+2500원),2500
황금올리브치킨,추가메뉴,제로콜라 1.25L (+2500원),2500
황금올리브치킨,추가메뉴,시크릿 양념소스(25g) (+500원),500
자메이카 소떡만나치킨,자소만 부분육 선택,한마리,0
자메이카 소떡만나치킨,자소만 부분육 선택,순살 변경 (+2000원),2000
자메이카 소떡만나치킨,추가메뉴,치킨무 추가 (+500원),500
자메이카 소떡만나치킨,추가메뉴,콜라 1.25L (+2500원),2500
자메이카 소떡만나치킨,추가메뉴,제로콜라 1.25L (+2500원),2500
자메이카 소떡만나치킨,추가메뉴,시크릿 양념소스(25g) (+500원),500
황올한 깐풍치킨,깐풍 부분육 선택,한마리,0
황올한 깐풍치킨,깐풍 부분육 선택,순살 변경 (+2000원),2000
황올한 깐풍치킨,추가메뉴,치킨무 추가 (+500원),500
황올한 깐풍치킨,추가메뉴,콜라 1.25L (+2500원),2500
황올한 깐풍치킨,추가메뉴,제로콜라 1.25L (+2500원),2500
황올한 깐풍치킨,추가메뉴,시크릿 양념소스(25g) (+500원),500
치즈 크레이프 샌드,음료 선택,코카콜라 1.25L (+2300원),2300
치즈 크레이프 샌드,음료 선택,스프라이트 1.25L (+2300원),2300
치즈 크레이프 샌드,사이드,코울슬로 (+2400원),2400
치즈 크레이프 샌드,사이드,NEW 치즈 볼로네즈 스파게티 (+9800원),9800
치즈 크레이프 샌드,사이드,웨스턴 핫 윙 (+9800원),9800
치즈 크레이프 샌드,사이드,하프&하프 파스타(NEW 치즈 & 베이컨 까르보나라) (+10800원),10800
